rate_id,contractor_id_snap,contractor_name_snap,project_id_snap,project_name_snap,labor_code,labor_description,unit,unit_rate,effective_date,expiration_date,active,supersedes_rate_id,status,notes
RATE-000128,CON-0001,River City Communications,,,BMHR 1B,"Labor unit per hour for 1 Buried Fiber Foreman, truck and tools, to be compensated where other units do not apply.",HR,92.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000129,CON-0001,River City Communications,,,BMHR 2B,Labor unit per hour for 2 Man Buried Fiber Crew to be compensated where other units do not apply.,HR,170,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000130,CON-0001,River City Communications,,,BMHR B,Labor unit per hour for Man Buried Fiber Crew to be compensated where other units do not apply.,HR,206,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000131,CON-0001,River City Communications,,,BMHR 4B,Labor unit per hour for 4 Man Buried Fiber Crew to be compensated where other units do not apply.,HR,248,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000132,CON-0001,River City Communications,,,BMHR ER1,"Emergency Call Out. After hours, weekend or holiday. Only applicable for emergency repair response. Flat fee for mobili ation of on-site response to emergency plant repair at any time of day or night.",EVENT,235,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000133,CON-0001,River City Communications,,,BMHR ER2,"Emergency Aerial Line/Bucket Truck with Two Person Crew. After hours, weekend or holiday.",HR,175,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000134,CON-0001,River City Communications,,,BMHR ER,"Emergency Heavy Equipment Operator with backhoe or excavator to make UG repairs. After hours, weekend or holiday.",HR,150,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000135,CON-0001,River City Communications,,,BMHR ER4,"Emergency Ground Hand, or General Laborer. After hours, weekend or holiday.",HR,56,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000136,CON-0001,River City Communications,,,BFO-DROP,"Labor to install underground conduit and pull drop(Plow or Trench). Min depth to be 12"" to 18"" to top of conduit.",FT,2.5499999999999998,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000137,CON-0001,River City Communications,,,BM60-DROP,"Labor to install underground conduit and pull drop(Missle Bore or Directional Bore). Min depth to be 12"" to 18"" to top of conduit.",FT,12.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000138,CON-0001,River City Communications,,,BMHD-DROP,"Labor to Hand Dig portion of underground conduit and pull drop. Min depth to be 12"" to 18"" to top of conduit.",FT,11,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000139,CON-0001,River City Communications,,,AFO.DROP,Install Aerial Drop Fiber.,FT,1.75,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000140,CON-0001,River City Communications,,,RISER,Install Fiber Optic Drop Riser Guard,EA,45,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000141,CON-0001,River City Communications,,,ONT,Install Demarcation Box on side of building or on Mobile Home Post.,EA,45,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000142,CON-0001,River City Communications,,,HO-1TL,Labor for fiber tests with light meter.,EA,9,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000143,CON-0001,River City Communications,,,BFO-DROP.IE,Labor to install Drop Fiber and Tracer Wire in existing conduit.,FT,1.75,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000144,CON-0001,River City Communications,,,BM60(1)(0.75)Drop,"Labor to place a second vacant /4"" conduit. Min depth to be 12"" to 18"".",FT,1.25,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000145,CON-0001,River City Communications,,,BDO7,PEDESTAL,EA,85,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000146,CON-0001,River City Communications,,,BM2,Ground Rod,EA,22,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
