rate_id,contractor_id_snap,contractor_name_snap,project_id_snap,project_name_snap,labor_code,labor_description,unit,unit_rate,effective_date,expiration_date,active,supersedes_rate_id,status,notes
RATE-000076,CON-0001,River City Communications,,,BM53,Labor to install an above round Fiber markin post,EA,22,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000077,CON-0001,River City Communications,,,BM55A,"Labor to install a 3M locate disk or locate ball in vaults, on buried splices, or at the ends of pipe",EA,4,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000078,CON-0001,River City Communications,,,BM60-(7Way)P Micro Duct,"Labor to install a 7 Way Micro Duct conduit bore or road crossing via the missile bore method. Unit consists of digging entry and exit pits, tamping and backfilling.",FT,10,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000079,CON-0001,River City Communications,,,BM60-(1.25)MB,"Labor to install a 1.25"" conduit bore or road crossing via the missile bore method. Unit consists of digging entry and exit pits, tamping and backfilling.",FT,10,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000080,CON-0001,River City Communications,,,BM60-(2)MB,"Labor to install a 2"" conduit bore or road crossing via the missile bore method. Unit consists of digging entry and exit pits, tamping and backfilling.",FT,10,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000081,CON-0001,River City Communications,,,BM60-(4)MB,"Labor to install a 4"" conduit bore or road crossing via the missile bore method. Unit consists of digging entry and exit pits, tamping and backfilling.",FT,14.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000082,CON-0001,River City Communications,,,BM60-(7Way)DP Micro Duct,"Labor to install a 7 Way Micro Duct conduit bore or road crossing via the hydraulic bore rig method. Unit consists of digging entry and exit pits, tamping and backfilling.",FT,10,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000083,CON-0001,River City Communications,,,BM60(1)(1.25)DP,"Labor to install one (1) 1.25"" conduit bore or road crossing via the hydraulic bore rig method, pulling all pipes back at one time. Unit consists of digging entry and exit pits, tamping and backfilling.",FT,10,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000084,CON-0001,River City Communications,,,BM60(2)(1.25)DP,"Labor to install two (2) 1.25"" conduit bore or road crossing via the hydraulic bore rig method, pulling all pipes back at one time. Unit consists of digging entry and exit pits, tamping and backfilling.",FT,12,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000085,CON-0001,River City Communications,,,BM60(3)(1.25)DP,"Labor to install three (3) 1.25"" conduit bore or road crossing via the hydraulic bore rig method, pulling all pipes back at one time. Unit consists of digging entry and exit pits, tamping and backfilling.",FT,12,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000086,CON-0001,River City Communications,,,BM60(4)(1.25)DP,"Labor to install four (4) 1.25"" conduit bore or road crossing via the hydraulic bore rig method, pulling all pipes back at one time. Unit consists of digging entry and exit pits, tamping and backfilling.",FT,14,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000087,CON-0001,River City Communications,,,BM60(5)(1.25)DP,"Labor to install five (5) 1.25"" conduit bore or road crossing via the hydraulic bore rig method, pulling all pipes back at one time. Unit consists of digging entry and exit pits, tamping and backfilling.",FT,14,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000088,CON-0001,River City Communications,,,BM60-(2)DP,"Labor to install a 2"" conduit bore or road crossing via the hydraulic bore rig method. Unit consists of digging entry and exit pits, tamping and backfilling.",FT,10,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000089,CON-0001,River City Communications,,,BM60-(4)DP,"Labor to install a 4"" conduit bore or road crossing via the hydraulic bore rig method. Unit consists of digging entry and exit pits, tamping and backfilling.",FT,14.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000090,CON-0001,River City Communications,,,BM60-(2) DPD Dual,"Labor to install a second or more 2"" conduit bores or road crossings via the hydraulic bore rig method pulling multiple pipes back at one time. Unit consists of digging entry and exit pits, tamping and backfilling.",FT,9,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000091,CON-0001,River City Communications,,,BM60-(4) DPD Dual,"Labor to install a second or more 4"" conduit bores or road crossings via the hydraulic bore rig method pulling multiple pipes back at one time. Unit consists of digging entry and exit pits, tamping and backfilling.",FT,11.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000092,CON-0001,River City Communications,,,BM60(1.25)DP SDR Rail Road,"Labor to install a SDR 11 1.25"" conduit railroad bore via the hydraulic bore method.",FT,12,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000093,CON-0001,River City Communications,,,BM60(2)DP SDR Rail Road,"Labor to install a SDR 11 2"" conduit railroad bore via the hydraulic bore method.",FT,16,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000094,CON-0001,River City Communications,,,BM72,"Labor and material to remove and restore asphalt roadways. All work will be preformed to meet all federal, state, local standards which may include the use of any sub-base material such as concrete or crush and run.",SF,42,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000095,CON-0001,River City Communications,,,BM7,"Labor and material to remove and restore any concrete. All work will be preformed to meet all federal, state, local standards which may include the use of any sub-base material such crush and run.",SF,45,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000096,CON-0001,River City Communications,,,BMHD,"Labor to hand dig cables or conduit to proper depth greater than 18"" and up to 42"" where trench cannot be opened by backhoes, trenchers, ect due to existing facilities or room limitations.",FT,24,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000097,CON-0001,River City Communications,,,BM60-R,Rock adder to be added to BM60 for any si e conduit.,FT,15,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000098,CON-0001,River City Communications,,,BM71,"Rock adder to be added to the plow or open trench method where a rock is present. This adder will cover jack hammering or sawing rock to get the conduit a min of 18"" into the rock surface or under the rock surface.",FT,38,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000099,CON-0001,River City Communications,,,BM81,Labor to install 10' Riser Guard.,EA,45,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000100,CON-0001,River City Communications,,,BM90,Install Pull Rope/Install Tracer Wire in Conduit (Only billed when no fiber pulled),FT,1,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
