material_code,description,category,unit,pack_size,manufacturer,part_number,conduit_diameter,pull_count,standard_cost,active,notes
26702608,8 PORT HST 150 FT TONEABLE STUB,Splitter-MST,EA,,,26702608,,,,yes,
26702609,8 PORT HST 250 FT TONEABLE STUB,Splitter-MST,EA,,,26702609,,,,yes,
26702610,8 PORT HST 1500 FT TONEABLE STUB,Splitter-MST,EA,,,26702610,,,,yes,
26702892,FIELDSMART FDH PON 288,Pedestal-Cabinet,EA,,,26702892,,,,yes,
26702933,"MICKEY MOUSE MOUNTING BOLT, HEAVY DUTY",Aerial Hardware,EA,,,26702933,,,,yes,
26702934,1-1/4 STAINLESS STEEL BANDING,Aerial Hardware,EA,,,26702934,,,,yes,
26703212,30X48X36 SPLIT LID VAULT,Vault-Handhole,EA,,,26703212,,,,yes,
26703774,24X36 VAULT,Vault-Handhole,EA,,,26703774,,,,yes,
26704282,MARKER POST W/OUT LOCATOR,Marker,EA,,,26704282,,,,yes,
26704283,TEST MARKER W/GROUND AND LOCATOR,Marker,EA,,,26704283,,,,yes,
26704285,4X4 RIVERTECH SNAP SIGN MARKER,Marker,EA,,,26704285,,,,yes,
26705386,FDH CAB 432F Max W/SCAPC 50 ft Feed tail,Pedestal-Cabinet,EA,,,26705386,,,,yes,
26711642,14X19X12 DROP VAULT W/ GREEN LID,Vault-Handhole,EA,,,26711642,,,,yes,
26712097,4 PORT HST 1250 FT TONEABLE STUB,Splitter-MST,EA,,,26712097,,,,yes,
26712099,8 PORT HST 150 FT TONEABLE STUB,Splitter-MST,EA,,,26712099,,,,yes,
26715578,COYOTE 1 dome,Splice,EA,,,26715578,,,,yes,
26715579,COYOTE 9.5 x 19,Splice,EA,,,26715579,,,,yes,
26715580,COYOTE 6.5 x 17,Splice,EA,,,26715580,,,,yes,
27010569,PRYSMIAN 96 RIBBON FIBER ARMORED,Fiber Cable,FT,,,27010569,,,,yes,
27010571,PRYSMIAN 144 RIBBON FIBER ARMORED,Fiber Cable,FT,,,27010571,,,,yes,
29300555,GUY GUARD,Aerial Hardware,EA,,,29300555,,,,yes,
31120,"Tape, Super +33",Marker,EA,,,31120,,,,yes,
42902163,"5/8"" Nut square",Aerial Hardware,EA,,,42902163,,,,yes,
48 CT PRYSMIAN,48 CT PRYSMIAN,Fiber Cable,FT,,,48 CT PRYSMIAN,,,,yes,
48 PRYSMIAN,48ct PRYSMIAN / EDH1A1J-12-B1-048-E3,Fiber Cable,FT,,,48 PRYSMIAN,,,,yes,
53838508,GROUND ROD 8' (Copper),Grounding,EA,,,53838508,,,,yes,
55002043,DRIVE HOOK (J3316P),Aerial Hardware,EA,,,55002043,,,,yes,
55504222,"1""/4"" X 2.5"" LAG SCREW W/CUSHION",Aerial Hardware,EA,,,55504222,,,,yes,
6380512,"Bolt, Machine 5/8"" X 12""",Aerial Hardware,EA,,,6380512,,,,yes,
6380518,"Bolt, Machine 5/8"" X 18""",Aerial Hardware,EA,,,6380518,,,,yes,
72600601,"Wire, #6, Solid copper clad",Grounding,FT,,,72600601,,,,yes,
75083400,"Pole bands 3/4"" X 100'",Aerial Hardware,FT,100,,75083400,,,,yes,
750850800,"Pole band bolts retainer, Extrusion 3/8""",Aerial Hardware,EA,,,750850800,,,,yes,
834773,"1000PK 8"" BLK CABLE TIES",Aerial Hardware,EA,1000,,834773,,,,yes,
88197123,SUPPORT TIE BULK,Aerial Hardware,EA,,,88197123,,,,yes,
90072562,"1/4"" STRAND SPLICE",Aerial Hardware,FT,,,90072562,,,,yes,
97136163,MORAY SHIELD CONN,Grounding,EA,,,97136163,,,,yes,
99431488,.045 LASH WIRE 430-TYPE 1200FT COIL,Aerial Hardware,FT,1200,,99431488,,,,yes,
B1413P,CAUTION TAPE-FIBER OPTIC BURIED BELOW,Marker,FT,,,B1413P,,,,yes,
CSS-50R,"Cable Straping, 50' Roll",Aerial Hardware,FT,50,,CSS-50R,,,,yes,
CSS-LH,LOCKING HEADS FOR CABLE STRAPS,Aerial Hardware,EA,,,CSS-LH,,,,yes,
D6105O51,(6 x 1000 foot orange) DITCH TAPE,Marker,FT,,,D6105O51,,,,yes,
DL-1250-3,PULL TAPE 3000FT,Marker,FT,3000,,DL-1250-3,,,,yes,
F62002,"CABLE TIES 4"" BLACK ULTRA LIGHT",Aerial Hardware,EA,,,F62002,,,,yes,
FD20-144U43-E99,SUPERIOR ESSEX 144,Fiber Cable,FT,,,FD20-144U43-E99,,,,yes,
FIBR288SMSALTOS,"288F SJSA, Prysmian Loose Tube",Fiber Cable,FT,,,FIBR288SMSALTOS,,,,yes,
GDE1104,"Guy grips (Preform), 1/4"" / YELLOW",Aerial Hardware,EA,,,GDE1104,,,,yes,
HE01SMAL57SA-XX,Test Cable OPTI TAP,Splitter-MST,EA,,,HE01SMAL57SA-XX,,,,yes,
J-1074,"Square washer 5/8""",Aerial Hardware,EA,,,J-1074,,,,yes,
J-1096,Bolt-3 Straight suspension clamp,Aerial Hardware,EA,,,J-1096,,,,yes,
J-6510,"Thimble eye 5/8"" nut",Aerial Hardware,EA,,,J-6510,,,,yes,
J-6526,"6"" HELIX SCREW ANCHOR",Aerial Hardware,EA,,,J-6526,,,,yes,
J-7901A,Bolt-3 Curved suspension clamp,Aerial Hardware,EA,,,J-7901A,,,,yes,
