source_label,project,eligible_quantity,reason
AFO.BANDING,A,214,Production recorded against a label with no pay unit in the rate sheet
BDO(M),A,45,Production recorded against a label with no pay unit in the rate sheet
BFO.96.I,A,11004,Production recorded against a label with no pay unit in the rate sheet
BFO.96.IE,A,2008,Production recorded against a label with no pay unit in the rate sheet
BHF-PH,A,9,Production recorded against a label with no pay unit in the rate sheet
BM60 (4)DP SDR11 RR,A,684,Production recorded against a label with no pay unit in the rate sheet
HO1-12R,A,69,Production recorded against a label with no pay unit in the rate sheet
